name	subspecies	serovar	core	contigs	quality
GCA_000006945	enterica	Typhimurium	405	2	1
GCA_000007545	enterica	Typhi	361	1	1
GCA_000008105	enterica	Choleraesuis	389	3	1
GCA_000009505	enterica	Enteritidis	405	1	1
GCA_000009525	enterica	Gallinarum	392	1	1
GCA_000011885	enterica	Paratyphi	366	1	1
GCA_000016045	enterica	Newport	405	3	1
GCA_000018385	enterica	Paratyphi	397	2	1
GCA_000018625	arizonae	62:z4,z23:--,	76	1	1
GCA_000018705	enterica	Paratyphi	400	1	1
GCA_000020705	enterica	Heidelberg	400	3	1
GCA_000020745	enterica	Schwarzengrund	366	3	1
GCA_000020885	enterica	Agona	376	2	1
GCA_000020925	enterica	Dublin	399	2	1
GCA_000022165	enterica	Typhimurium	403	2	1
GCA_000026565	enterica	Paratyphi	366	1	1
GCA_000027025	enterica	Typhimurium	403	1	1
GCA_000170195	enterica	Kentucky	383	4	1
GCA_000170215	enterica	Saintpaul	405	2	1
GCA_000170235	enterica	Saintpaul	394	182	1
GCA_000170255	enterica	4,[5],12:i:-	399	113	1
GCA_000171255	enterica	Javiana	366	19	1
GCA_000171275	enterica	Kentucky	380	53	1
GCA_000171295	enterica	Schwarzengrund	363	67	1
GCA_000171315	enterica	Heidelberg	404	48	1
GCA_000171415	enterica	Newport	402	63	1
GCA_000171495	enterica	Weltevreden	387	81	1
GCA_000171515	enterica	Hadar	402	50	1
GCA_000171535	enterica	Virchow	396	5	1
GCA_000173695	enterica	Tennessee	371	94	1
GCA_000180195	enterica	Typhi	86	6441	0
GCA_000180215	enterica	Typhi	309	1445	0
GCA_000180235	enterica	Typhi	168	4564	0
GCA_000180255	enterica	Typhi	349	422	1
GCA_000180275	enterica	Typhi	216	3939	0
GCA_000180295	enterica	Typhi	208	3682	0
GCA_000180315	enterica	Typhi	324	1065	0
GCA_000180335	enterica	Typhi	292	3024	0
GCA_000180355	enterica	Typhi	89	7336	0
GCA_000180375	enterica	Typhi	346	415	1
GCA_000187565	enterica	Choleraesuis	391	2	1
GCA_000187785	enterica	Typhimurium	405	24	1
GCA_000188335	enterica	Montevideo	365	50	1
GCA_000188355	enterica	Montevideo	365	51	1
GCA_000188375	enterica	Montevideo	365	39	1
GCA_000188395	enterica	Montevideo	365	44	1
GCA_000188415	enterica	Montevideo	365	39	1
GCA_000188435	enterica	Montevideo	365	34	1
GCA_000188455	enterica	Montevideo	361	132	1
GCA_000188475	enterica	Montevideo	361	89	1
